Method,Cluster,Size,Slope_mean,TV_mean,Flip_mean
K-means,0,301,-0.0007199212333655679,3.527277529411341,0.34921788375351975
K-means,1,1791,-0.0030854377313492567,0.6662818806529099,0.012873450143131883
K-means,2,233,-0.01912075254479319,1.7514930314735337,0.7067238912732474
K-means,3,39,0.2846395658110787,0.7139328611111111,0.19017094017094013
GNN,0,435,-0.0345444299378296,1.3829410507389162,0.2137128261266192
GNN,1,1691,0.003054247103049735,0.5159180004469978,0.01874276176851284
GNN,2,270,-0.00028343848751955647,3.58673040624499,0.39411632743198094
GNN,3,261,0.044967856015817355,1.531466326192964,0.2861126315149304
